# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	X/East	Y/North	Z/Altitude
DSC01137_geotag.JPG	13.626027	58.469558	275.950000
DSC01138_geotag.JPG	13.625698	58.469562	275.730000
DSC01139_geotag.JPG	13.625382	58.469565	275.510000
DSC01140_geotag.JPG	13.625077	58.469566	275.720000
DSC01141_geotag.JPG	13.624769	58.469555	275.830000
DSC01142_geotag.JPG	13.624521	58.469547	275.920000
DSC01143_geotag.JPG	13.624175	58.469537	275.820000
DSC01144_geotag.JPG	13.623833	58.469530	275.830000
DSC01145_geotag.JPG	13.623487	58.469524	275.850000
DSC01146_geotag.JPG	13.623138	58.469517	275.540000
DSC01147_geotag.JPG	13.622803	58.469512	275.610000
DSC01148_geotag.JPG	13.622468	58.469512	275.550000
DSC01149_geotag.JPG	13.622220	58.469510	275.440000
DSC01150_geotag.JPG	13.621882	58.469509	275.700000
DSC01151_geotag.JPG	13.621539	58.469504	275.720000
DSC01152_geotag.JPG	13.621185	58.469499	275.790000
DSC01153_geotag.JPG	13.620841	58.469497	275.820000
DSC01154_geotag.JPG	13.620636	58.469450	275.890000
DSC01155_geotag.JPG	13.620586	58.469310	276.100000
DSC01156_geotag.JPG	13.620567	58.469195	275.950000
DSC01157_geotag.JPG	13.620667	58.469121	276.040000
DSC01158_geotag.JPG	13.620954	58.469113	275.640000
DSC01159_geotag.JPG	13.621291	58.469103	275.640000
DSC01160_geotag.JPG	13.621633	58.469099	275.750000
DSC01161_geotag.JPG	13.621969	58.469102	275.850000
DSC01162_geotag.JPG	13.622303	58.469108	275.790000
DSC01163_geotag.JPG	13.622566	58.469113	275.760000
DSC01164_geotag.JPG	13.622903	58.469117	275.820000
DSC01165_geotag.JPG	13.623234	58.469123	275.720000
DSC01166_geotag.JPG	13.623571	58.469129	275.720000
DSC01167_geotag.JPG	13.623917	58.469132	275.730000
DSC01168_geotag.JPG	13.624255	58.469135	275.790000
DSC01169_geotag.JPG	13.624596	58.469140	275.820000
DSC01170_geotag.JPG	13.624937	58.469143	275.770000
DSC01171_geotag.JPG	13.625200	58.469147	275.700000
DSC01172_geotag.JPG	13.625547	58.469152	275.730000
DSC01173_geotag.JPG	13.625892	58.469158	275.640000
DSC01174_geotag.JPG	13.626233	58.469164	275.790000
DSC01175_geotag.JPG	13.626575	58.469170	275.700000
DSC01176_geotag.JPG	13.626920	58.469173	275.820000
DSC01177_geotag.JPG	13.627266	58.469176	275.820000
DSC01178_geotag.JPG	13.627610	58.469181	275.760000
DSC01179_geotag.JPG	13.627953	58.469187	275.720000
DSC01180_geotag.JPG	13.628215	58.469189	275.820000
DSC01181_geotag.JPG	13.628559	58.469192	275.920000
DSC01182_geotag.JPG	13.628896	58.469197	275.820000
DSC01183_geotag.JPG	13.629238	58.469199	275.820000
DSC01184_geotag.JPG	13.629583	58.469204	275.820000
DSC01185_geotag.JPG	13.629929	58.469210	275.750000
DSC01186_geotag.JPG	13.630271	58.469213	275.880000
DSC01187_geotag.JPG	13.630610	58.469219	275.820000
DSC01188_geotag.JPG	13.630956	58.469224	275.770000
DSC01189_geotag.JPG	13.631300	58.469229	275.730000
DSC01190_geotag.JPG	13.631557	58.469231	275.700000
DSC01191_geotag.JPG	13.631902	58.469234	275.670000
DSC01192_geotag.JPG	13.632250	58.469238	275.730000
DSC01193_geotag.JPG	13.632597	58.469242	275.770000
DSC01194_geotag.JPG	13.632940	58.469247	275.660000
DSC01195_geotag.JPG	13.633276	58.469252	275.730000
DSC01196_geotag.JPG	13.633620	58.469255	275.760000
DSC01197_geotag.JPG	13.633876	58.469257	275.850000
DSC01198_geotag.JPG	13.634221	58.469262	275.700000
DSC01199_geotag.JPG	13.634569	58.469266	275.750000
DSC01200_geotag.JPG	13.635005	58.469271	275.770000
DSC01201_geotag.JPG	13.635264	58.469274	275.800000
DSC01202_geotag.JPG	13.635607	58.469279	275.790000
DSC01203_geotag.JPG	13.635958	58.469285	275.730000
DSC01204_geotag.JPG	13.636295	58.469290	275.790000
DSC01205_geotag.JPG	13.636551	58.469293	275.790000
